MR,Isp_s,Pc_psia,P_out_psia,MW_gmol,Gamma,SlagFraction,MW_kg_per_mol,R_specific_J_per_kgK,cp_J_per_kgK,cv_J_per_kgK,T_chamber_K,T_exit_K
6.076923076923077,373.7561942587798,6482.229450851235,4934.167140118852,16.966261645579515,1.1146595102553805,2.85539292,0.016966261645579513,490.05861113308583,4764.092313541034,4274.033702407948,,
6.294871794871795,374.195434918454,6473.012723727532,4925.07066908055,16.916286954323418,1.1148056283550325,2.85539292,0.016916286954323418,491.5063595577191,4772.710744744762,4281.204385187044,,
6.512820512820513,374.6064724691881,6464.302069642592,4916.446931939942,16.86948150894999,1.114942228282306,2.85539292,0.01686948150894999,492.87007509638386,4780.8509369765015,4287.980861880117,,
6.730769230769231,374.9918983781483,6456.057139149799,4908.259053203984,16.82555171192469,1.115070261515961,2.85539292,0.01682555171192469,494.1569085226829,4788.549760442468,4294.392851919786,,
6.948717948717949,375.3540035220567,6448.241615743195,4900.473852928084,16.784238760976397,1.1151905550038883,2.85539292,0.016784238760976396,495.37323298119946,4795.840688533245,4300.467455552045,,
7.166666666666667,375.6948111800794,6440.8229325802495,4893.061590574924,16.74531466121743,1.1153038281022036,2.85539292,0.016745314661217432,496.5247166964108,4802.753962236277,4306.2292455398665,,
7.384615384615385,376.01611913712594,6433.77171236768,4885.9954342165975,16.708577267879253,1.11541071108772,2.85539292,0.016708577267879252,497.6164328567371,4809.317038171564,4311.700605314826,,
7.602564102564102,376.3195351547448,6427.061300697525,4879.251008268477,16.673846244947843,1.1155117600525744,2.85539292,0.016673846244947842,498.65295001580773,4815.554967514713,4316.9020174989055,,
7.82051282051282,376.606489765863,6420.667633526832,4872.806332992884,16.640961071694132,1.1156074651247725,2.85539292,0.016640961071694133,499.6383671791611,4821.490478026093,4321.852110846932,,
8.038461538461538,376.8782701768042,6414.568823399848,4866.641362389968,16.609777829910243,1.1156982616894584,2.85539292,0.016609777829910244,500.5763895999185,4827.1443283948665,4326.567938794948,,
8.256410256410255,377.1360319291215,6408.744973041282,4860.737867067506,16.580167369038065,1.115784537182012,2.85539292,0.016580167369038064,501.47036716165684,4832.535458982602,4331.065091820945,,
8.474358974358974,377.3808204235866,6403.177855722254,4855.07911984731,16.552012949878286,1.1158666390796372,2.85539292,0.016552012949878285,502.3233514455642,4837.681271858775,4335.357920413211,,
8.692307692307693,377.6135773809566,6397.850888543264,4849.649888335432,16.52520950464953,1.1159448779356522,2.85539292,0.016525209504649533,503.1381064072974,4842.59764412428,4339.459537716983,,
8.91025641025641,377.8351563011818,6392.748883623901,4844.436200609496,16.499661868642907,1.116019533216777,2.85539292,0.016499661868642906,503.9171520208312,4847.299150285604,4343.381998264772,,
9.128205128205128,378.04633533948777,6387.857839143114,4839.425148298498,16.475283309129328,1.116090858130913,2.85539292,0.016475283309129327,504.66280076325046,4851.79924964843,4347.13644888518,,
9.346153846153848,378.247819944749,6383.164953226076,4834.604915917132,16.451995236624505,1.116159080883028,2.85539292,0.016451995236624505,505.3771593395585,4856.110270326143,4350.7331109865845,,
9.564102564102564,378.44025456787045,6378.65841776885,4829.964583750168,16.429725870990488,1.116224408894481,2.85539292,0.016429725870990487,506.06216338848697,4860.24359741011,4354.181434021623,,
9.782051282051285,378.6242274205699,6374.327363155242,4825.494083613683,16.408409709115205,1.116287030608475,2.85539292,0.016408409709115203,506.71958864693556,4864.209723148712,4357.490134501777,,
