time_s,web_burned_m,web_burned_mm,d_i_m,L_g_m,A_b_m2,A_p_m2,K_b,P_c_MPa,P_c_psia,r_b_mm_s,mdot_gen_kg_s,mass_flux_wall_kg_m2s,v_inflow_m_s,T_c_K,MW_g_gmol,Gamma_g,rho_g_kg_m3
0.5250000000000004,0.0066430706700937436,6.643070670093744,0.053286141340187484,0.1367138586598125,0.06826836386710541,0.0022300696445279222,268.27771768508563,9.3643814448136,1358.1881667837024,12.868405744699343,1.5373837600951978,22.51971005322385,1.5992886918778233,2800.0,35.00652618848629,1.22,14.081078774328152
0.5300000000000004,0.0067074126988172405,6.70741269881724,0.05341482539763448,0.13658517460236552,0.06829257864070937,0.002240853721562064,268.3728757323676,9.369739356204676,1358.9652658257394,12.871203100832817,1.538263387437293,22.52460542645743,1.6043391202854602,2800.0,34.883952993151276,1.22,14.039803144892225
0.5350000000000004,0.006771768714321404,6.7717687143214045,0.05354353742864281,0.13645646257135718,0.06831648643551999,0.002251666163077584,268.46682742922036,9.375030486014408,1359.7326790220989,12.873964617291678,1.5391320510099995,22.529438080260437,1.6085248319127403,2800.0,34.781001693609234,1.22,14.006273097736436
0.5400000000000004,0.006836138537407862,6.836138537407862,0.05367227707481573,0.13632772292518427,0.0683400869826655,0.0022625069558258075,268.5595717190446,9.380254730840843,1360.4903913756016,12.8766902776201,1.5399897338374513,22.534207985835174,1.6111759428929218,2800.0,34.71177976368186,1.22,13.986186974325243
0.5450000000000004,0.006900521988795963,6.900521988795964,0.05380104397759193,0.13619895602240806,0.06836338001667985,0.002273376086257874,268.65110755862463,9.385411988559568,1361.2383880743591,12.879380065572905,1.5408364191535202,22.538915114752584,1.6128103140207573,2800.0,34.664788794382645,1.22,13.974932401419712
0.5500000000000004,0.006964918889123828,6.964918889123828,0.053929837778247655,0.13607016222175233,0.06838636527550705,0.0022842735405245907,268.7414339181455,9.390502158326724,1361.976654492212,12.882033965115733,1.541672090402313,22.54355943895253,1.6143628390663565,2800.0,34.61981189672452,1.22,13.964369653101205
0.5550000000000004,0.007029329058949407,7.029329058949407,0.05405865811789881,0.1359413418821012,0.06840904250050532,0.0022951993044763004,268.83054978120924,9.395525140581963,1362.7051761891587,12.884651960425158,1.5424967312386517,22.548140930744026,1.6158477513413767,2800.0,34.576531666842484,1.22,13.954372193807218
0.5600000000000004,0.007093752318751533,7.093752318751533,0.05418750463750307,0.13581249536249693,0.06843141143645115,0.002306153363662744,268.91845414485084,9.400480837051328,1363.4239389117718,12.88723403588882,1.5433103255285534,22.552659562805434,1.617277474569624,2800.0,34.534672521666174,1.22,13.944830072407308
0.5650000000000004,0.0071581884889309775,7.1581884889309775,0.05431637697786196,0.13568362302213804,0.06845347183154342,0.0023171357033329315,269.00514601955445,9.405369150750145,1364.1329285936197,12.889780176105555,1.5441128573496996,22.557115308184724,1.6186628659090614,2800.0,34.493994858987506,1.22,13.935647615858763
0.5700000000000004,0.007222637389811506,7.2226373898115055,0.054445274779623014,0.13555472522037698,0.06847522343740739,0.0023281463084350194,269.0906244292689,9.410189985985872,1364.8321313556776,12.892290365885522,1.5449043109919052,22.561508140299665,1.6200134109436088,2800.0,34.45429038605285,1.22,13.926741586144196
0.5750000000000004,0.007287098841640933,7.287098841640933,0.054574197683281866,0.13542580231671814,0.06849666600909869,0.0023391851636161923,269.1748884114238,9.414943248360883,1365.521533506733,12.89476459025034,1.5456846709575773,22.565838032938093,1.6213374090086714,2800.0,34.415377764228936,1.22,13.918039457768044
0.5800000000000004,0.007351572664592185,7.351572664592185,0.05470314532918437,0.13529685467081562,0.06851779930510714,0.0023502522532225464,269.257937016944,9.419628844775229,1366.2011215437853,12.897202834433187,1.5464539219621662,22.570104960258078,1.6226420973683462,2800.0,34.3770996400949,1.22,13.909478249617097
0.5850000000000004,0.007416058678764351,7.416058678764351,0.0548321173575287,0.1351678826424713,0.06853862308736068,0.00236134756129898,269.3397693102655,9.424246683429379,1366.870882152443,12.899605083878951,1.5472120489346168,22.574308896788164,1.6239337999534469,2800.0,34.33931922018535,1.22,13.901003167392227
0.5900000000000004,0.007480556704183745,7.480556704183745,0.05496111340836749,0.1350388865916325,0.06855913712122914,0.0023724710715890872,269.42038436935,9.428796673826906,1367.5308022073145,12.901971324244338,1.5479590370178093,22.57844981742759,1.625218032906397,2800.0,34.30191781686397,1.22,13.892566634305846
0.5950000000000004,0.007545066560804967,7.545066560804967,0.05509013312160994,0.13490986687839007,0.068579341175528,0.0023836227675350565,269.4997812856996,9.433278726777115,1368.1808687723885,12.904301541397976,1.5486948715689912,22.582527697446455,1.6264995950122672,2800.0,34.264792754601444,1.22,13.884127464093305
0.6000000000000004,0.007609588068511957,7.609588068511957,0.055219176137023915,0.13478082386297607,0.06859923502252196,0.0023948026322775768,269.5779591643713,9.437692754397688,1368.8210691014174,12.90659572142056,1.5494195381602096,22.58654251248598,1.6277828688267568,2800.0,34.227850879168386,1.22,13.87564824832288
0.6050000000000004,0.007674121047119059,7.674121047119059,0.05534824209423812,0.13465175790576187,0.06861881843792879,0.002406010648655744,269.6549171239915,9.442038670117247,1369.4513906382888,12.908853850604956,1.550133022578734,22.590494238558673,1.6290710052310962,2800.0,34.19102558064361,1.22,13.867102272410795
0.6100000000000004,0.007738665316372084,7.738665316372084,0.05547733063274417,0.13452266936725582,0.06863809120092268,0.002417246799206972,269.73065429676967,9.446316388677884,1370.0718210173934,12.911075915456301,1.5508353108274704,22.59438285204853,1.6303673675982533,2800.0,34.15424629375916,1.22,13.858461167149734
0.6150000000000004,0.007803220695949366,7.803220695949366,0.055606441391898735,0.13439355860810126,0.06865705309413792,0.002428511066166916,269.80516982851253,9.450525826137666,1370.6823480639885,12.913261902692136,1.5515263891253743,22.59820832971124,1.6316746384508207,2800.0,34.11745721803055,1.22,13.84970250635685
0.6200000000000004,0.007867787005462827,7.867787005462827,0.05573557401092566,0.13426442598907434,0.0686757039036723,0.0024398034314693884,269.87846287863755,9.454666899873109,1371.2829597945554,12.915411799242511,1.5522062439078546,22.601970648674392,1.632995107669885,2800.0,34.08061117028695,1.22,13.840807325457984
0.6250000000000004,0.00793236406445904,7.93236406445904,0.05586472812891808,0.13413527187108193,0.06869404341909052,0.002451123876746288,269.9505326201862,9.458739528581582,1371.8736444171489,12.917525592250076,1.5528748618271695,22.605669786437634,1.6343307147561181,2800.0,34.043668629527204,1.22,13.83175974258732
0.6300000000000004,0.00799695169242029,7.99695169242029,0.05599390338484058,0.13400609661515941,0.06871207143342761,0.0024624723833275345,270.02137823983753,9.462743632283699,1372.4543903317444,12.919603269070207,1.5535322297528198,22.60930572087286,1.63568309702472,2800.0,34.00659666877356,1.22,13.822546532392984
0.6350000000000005,0.008061549708765641,8.061549708765641,0.05612309941753128,0.1338769005824687,0.06872978774319216,0.002473848932241001,270.09099893792086,9.466679132325687,1373.0251861305812,12.921644817271117,1.5541783347719351,22.612878430224455,1.6370536067136197,2800.0,33.969368543346796,1.22,13.813156965348094
0.6400000000000005,0.008126157932851997,8.126157932851998,0.05625231586570399,0.133747684134296,0.0687471921483696,0.0024852535042124545,270.15939392842864,9.470545951381657,1373.5860205984918,12.923650224633933,1.5548131641896508,22.616387893109383,1.6384433461278567,2800.0,33.93196290923814,1.22,13.803582495884788
0.6450000000000005,0.008190776183975167,8.190776183975167,0.05638155236795034,0.13361844763204966,0.06876428445242544,0.0024966860796655057,270.226562439029,9.474344013455918,1374.136882713237,12.925619479152827,1.5554367055294833,22.619834088517447,1.6493800236047302,2800.0,33.69858917122721,1.22,13.71414335374431
0.6500000000000005,0.008255404281370931,8.25540428137093,0.05651080856274186,0.13348919143725813,0.06878106446230832,0.0025081466387215532,270.2925037110782,9.478073243885165,1374.6777616458244,12.927552569035086,1.556048946533693,22.6232169958114,1.7709782143110722,2800.0,31.377133538999892,1.22,12.77441857443292
0.6550000000000005,0.008320042044216106,8.320042044216105,0.05664008408843221,0.1333599159115678,0.06879753198845316,0.0025196351611997455,270.35721699963244,9.481733569340705,1375.2086467608306,12.929449482701234,1.5566498751636477,22.62653659472716,1.4318849347779838,2800.0,38.7984520588121,1.22,15.801923775554942
0.6600000000000005,0.008384689291629612,8.384689291629611,0.05676937858325923,0.13323062141674077,0.0688136868447842,0.002531151626616934,270.4207015734602,9.485324917830596,1375.7295276167113,12.931310208785124,1.5572394796001758,22.629792865373968,1.7528302575063155,2800.0,31.686968295863515,1.22,12.910430298920392
0.6650000000000005,0.008449345842673537,8.449345842673537,0.05689869168534707,0.13310130831465292,0.0688295288487179,0.0025426960141876403,270.4829567150535,9.488847218701771,1376.240393966109,12.933134736134022,1.5578177482439115,22.63298578823454,1.4447218041920964,2800.0,38.435837928863954,1.22,15.665982006059043
0.6700000000000005,0.008514011516354208,8.514011516354207,0.057028023032708416,0.13297197696729157,0.06884505782116598,0.0025542683028240277,270.5439817206399,9.492300402642117,1376.7412357561566,12.93492305380871,1.5583846697156387,22.636115344165244,1.6773812592118376,2800.0,33.09716705386958,1.22,13.494913705427606
0.6750000000000005,0.00857868613162325,8.57868613162325,0.057157372263246506,0.13284262773675348,0.06886027358653816,0.0025658684711358684,270.6037759001932,9.495684401682496,1377.2320431287667,12.936675151083572,1.558940232856623,22.63918151439625,1.4488911157499142,2800.0,38.30812397361292,1.22,15.62517795043467
0.6800000000000005,0.008643369507378668,8.643369507378669,0.05728673901475734,0.13271326098524266,0.06887517597274503,0.0025774964974305268,270.6623385774448,9.498999149198763,1377.7128064209287,12.938391017446685,1.5594844267289423,22.642184280531698,1.2337936230481013,2800.0,44.97696380786437,1.22,18.351678803942853
0.6850000000000005,0.008708061462465902,8.708061462465903,0.057416122924931805,0.1325838770750682,0.06888976481120083,0.002589152359712943,270.7196690898944,9.50224457991372,1378.183516164989,12.940070642599908,1.5600172406158062,22.64512362454984,1.4425691435258685,2800.0,38.459535706864294,1.22,15.6977734663044
0.6900000000000005,0.008772761815678902,8.772761815678901,0.0575455236313578,0.1324544763686422,0.06890403993682612,0.002600836035685616,270.7757667888209,9.505420629899033,1378.6441630889303,12.941714016458965,1.560538664021874,22.647999528803187,1.2306022888840749,2800.0,45.07471330158331,1.22,18.403995940346146
0.6950000000000005,0.008837470385761196,8.837470385761195,0.057674940771522396,0.1323250592284776,0.06891800118805036,0.002612547502748602,270.83063103929214,9.508527236577121,1379.0947381166452,12.943321129153533,1.5610486866735611,22.650811976018684,1.1751489228484586,2800.0,47.19215368280107,1.22,19.274843839464268
0.7000000000000005,0.008902186991406963,8.902186991406962,0.05780437398281393,0.13219562601718607,0.06893164840681465,0.0026242867379995057,270.8842612201759,9.511564338722987,1379.5352323682023,12.944891971027321,1.5615472985193433,22.653560949297812,1.1732613660092366,2800.0,47.25871875718259,1.22,19.308196456133434
0.7050000000000005,0.0089669114512621,8.9669114512621,0.057933822902524204,0.13206617709747578,0.0689449814385741,0.0026360537182334868,270.9366567241492,9.514531876466032,1379.9656371601088,12.946426532638151,1.5620344897300509,22.656246432116763,1.171424743409632,2800.0,47.323659984218835,1.22,19.34076137590528
0.7100000000000005,0.00903164358392529,9.031643583925291,0.058063287167850586,0.13193671283214942,0.06895800013230044,0.002647848419943265,270.9878169577084,9.517429791291825,1380.3859440055674,12.94792480475804,1.562510250699162,22.658868408326573,1.16963829964244,2800.0,47.38699168616108,1.22,19.37254313171296
0.7150000000000005,0.009096383207949081,9.096383207949081,0.05819276641589816,0.13180723358410185,0.06897070434048434,0.0026596708193191293,271.0377413411784,9.520258026043795,1380.7961446147212,12.949386778373272,1.56297457204308,22.661426862153228,1.1679013427580043,2800.0,47.44872628050982,1.22,19.403545515786604
0.7200000000000005,0.009161130141840947,9.161130141840946,0.0583222602836819,0.1316777397163181,0.06898309391913783,0.0026715208922489576,271.0864293087223,9.523016524924952,1381.1962308949046,12.950812444684473,1.563427444601414,22.663921778197828,1.166213246068848,2800.0,47.50887415984607,1.22,19.43377152900204
0.7250000000000005,0.00922588420406437,9.22588420406437,0.05845176840812874,0.13154823159187126,0.0689951687277966,0.0026833986143182356,271.1338803083503,9.525705233499513,1381.5861949508778,12.9522017951067,1.5638688594372492,22.666353141436723,1.1645734314863119,2800.0,47.567444327086484,1.22,19.46322363932715
0.7300000000000005,0.009290645213039904,9.290645213039904,0.058581290426079805,0.13141870957392018,0.06900692862952226,0.0026953039608100817,271.1800938019284,9.528324098694515,1381.9660290850609,12.953554821269485,1.5642988078374078,22.6687209372216,1.162981375442246,2800.0,47.6244441187005,1.22,19.491903667504033
0.7350000000000005,0.00935541298714625,9.35541298714625,0.0587108259742925,0.1312891740257075,0.06901837349090452,0.0027072369067052786,271.22506926518736,9.530873068801368,1382.3357257977605,12.954871515016933,1.564717281312708,22.671025151279633,1.1614321511596832,2800.0,47.68006217070662,1.22,19.519887690936354
0.7400000000000005,0.009420187344721335,9.420187344721334,0.05884037468944267,0.13115962531055733,0.06902950318206336,0.0027191974266823063,271.26880618773095,9.533352093477397,1382.6952777873917,12.956151868407773,1.5651242715982132,22.673265769713602,1.1599342291766817,2800.0,47.73393807247885,1.22,19.54702706360086
0.7450000000000006,0.009484968104063374,9.484968104063373,0.05896993620812675,0.13103006379187324,0.06904031757665102,0.0027311854951173847,271.31130407304386,9.535761123747308,1383.0446779506913,12.95739587371542,1.5655197706534754,22.675442779001983,1.158482743511899,2800.0,47.78625849986761,1.22,19.573397105823254
0.7500000000000006,0.00954975508343195,9.54975508343195,0.059099510166863906,0.1309004898331361,0.06905081655185424,0.002743201086084514,271.35256243850046,9.53810011200466,1383.3839193829313,12.958603523428065,1.5659037706627759,22.677556165999114,1.1570779093992538,2800.0,47.8370022800592,1.22,19.598988090415737
0.7550000000000006,0.009614548101049092,9.614548101049092,0.05922909620209818,0.13077090379790182,0.06906099998839602,0.002755244173355527,271.3925808153717,9.540369012013239,1383.7129953781186,12.959774810248714,1.5662762640353525,22.67960591793525,1.1557182091030869,2800.0,47.88622028673158,1.22,19.623819837134963
0.7600000000000006,0.009679346975100336,9.679346975100335,0.05935869395020067,0.13064130604979932,0.06907086777053761,0.0027673147304001448,271.43135874883313,9.542567778908454,1384.0318994291974,12.96090972709526,1.566637243405625,22.681592022416705,1.1544039120019294,2800.0,47.93389005595429,1.22,19.647882155114175
0.7650000000000006,0.009744151523735811,9.74415152373581,0.05948830304747162,0.13051169695252837,0.06908041978608045,0.002779412730386028,271.46889579797227,9.544696369198649,1384.3406252282382,12.962008267100538,1.5669867016334131,22.683514467425944,1.1531341685483676,2800.0,47.980035900389296,1.22,19.67118405309355
0.7700000000000006,0.009808961565071314,9.808961565071314,0.05961792313014263,0.13038207686985737,0.06908965592636786,0.0027915381461788473,271.50519153579523,9.546754740766373,1384.6391666666239,12.963070423612386,1.567324631804147,22.685373241321678,1.151909805155536,2800.0,48.02461286441156,1.22,19.69370617368657
0.7750000000000006,0.009873776917189376,9.873776917189376,0.059747553834378755,0.13025244616562123,0.06909857608628683,0.0028036909503423484,271.54024554923416,9.548742852869653,1384.9275178352332,12.964096190193697,1.567651027229071,22.68716833283897,1.1507300095827715,2800.0,48.067644490954365,1.22,19.715457269655133
0.7800000000000006,0.009938597398140344,9.938597398140343,0.05987719479628069,0.1301228052037193,0.06910718016426978,0.002815871115138425,271.5740574391535,9.550660666143175,1385.2056730246122,12.965085560622473,1.5679658814454425,22.68889973108933,1.1495980096464269,2800.0,48.108985837308566,1.22,19.736377012402432
0.7850000000000006,0.010003422825943456,10.003422825943456,0.06000684565188691,0.1299931543481131,0.0691154680622961,0.002828078612527197,271.6066268203567,9.552508142599482,1385.473626725148,12.966038528891897,1.568269188216725,22.69056742556082,1.148506600046995,2800.0,48.14892871384333,1.22,19.756584267458592
0.7900000000000006,0.010068253018587915,10.068253018587916,0.06013650603717583,0.12986349396282415,0.06912343968589374,0.002840313414167093,271.6379533215921,9.554285245630043,1385.7313736272245,12.966955089210334,1.568560941532766,22.692171406118085,1.147459043990611,2800.0,48.18732775981425,1.22,19.77601860821079
0.7950000000000006,0.010133087794033966,10.133087794033965,0.06026617558806793,0.12973382441193207,0.06913109494414088,0.002852575491414935,271.66803658555943,9.555991940006408,1385.9789086213889,12.967835236001457,1.5688411356099865,22.69371166300255,1.1464551226272355,2800.0,48.22418345271931,1.22,19.7946794559191
0.8000000000000006,0.010197926970213973,10.197926970213972,0.06039585394042794,0.12960414605957205,0.06913843374966715,0.002864864815326034,271.6968762689149,9.557628191881172,1386.2162267984922,12.968678963904201,1.569109764891537,22.695188186832354,1.1454946252234008,2800.0,48.25949631494529,1.22,19.812566281056284
0.8050000000000006,0.010262770365033494,10.262770365033495,0.06052554073006699,0.129474459269933,0.06914545601865527,0.0028771813566542837,271.72447204227734,9.559193968789055,1386.4433234498451,12.969486267772902,1.569366824047478,22.696600968602578,1.144577348225107,2800.0,48.293266949154514,1.22,19.82967861787422
0.8100000000000006,0.010327617796372358,10.327617796372358,0.060655235592744716,0.12934476440725529,0.06915216167084227,0.0028895250858522615,271.7508235902333,9.560689239647807,1386.6601940673509,12.970257142677262,1.5696123079749258,22.697949999685207,1.1437030874479657,2800.0,48.32549636453144,1.22,19.846016198428668
0.8150000000000006,0.010392469082085744,10.392469082085745,0.06078493816417149,0.1292150618358285,0.06915855062952087,0.0029018959730713377,271.7759306113422,9.562113974759166,1386.8668343436414,12.97099158390244,1.5698462117982106,22.699235271829274,1.1428716552404659,2800.0,48.35618524917272,1.22,19.86157865386314
0.8200000000000006,0.010457324040005257,10.457324040005256,0.060914648080010514,0.1290853519199895,0.06916462282154064,0.0029142939881617817,271.79979281814093,9.563468145809713,1387.0632401722053,12.971689586949076,1.5700685308690183,22.700456777160884,1.1420828591932368,2800.0,48.38533486573299,1.22,19.876365882241156
0.8250000000000006,0.010522182487940002,10.522182487940002,0.061044364975880006,0.12895563502412,0.06917037817730926,0.0029267191006728823,271.822409937149,9.564751725871732,1387.249407647508,12.972351147533326,1.5702792607665306,22.70161450818332,1.1428983281334104,2800.0,48.34678841098135,1.22,19.863196882315645
0.8300000000000006,0.010587044243677669,10.587044243677669,0.06117408848735534,0.12882591151264466,0.06917581663079361,0.002939171279853064,271.8437817088727,9.565964689404003,1387.4253330651109,12.9729762615869,1.5704783972975542,22.702708457777074,1.143893230239131,2800.0,48.30094113645539,1.22,19.84687718890606
0.8350000000000006,0.010651909124985603,10.651909124985602,0.061303818249971206,0.12869618175002878,0.06918093811952086,0.0029516504946500146,271.8639078878093,9.56710701225256,1387.5910129217782,12.973564925257104,1.5706659364966467,22.703738619199935,1.1448333928096064,2800.0,48.25770253358186,1.22,19.83147832845903
