Al_pct,Mg_pct,d_p0_um,L_c_m,Pc_psia,Primary_OF,Expulsion_Eff_pct,Slag_Pct,Residence_Time_ms,Target_>=90_Met
75.0,25.0,30.0,0.5,200.0,0.25,0.0,23.865000000000006,0.8200000000000015,False
75.0,25.0,50.0,0.05,200.0,0.25,1.2287604654343203,24.668117073757774,2.0300000000000042,False
75.0,25.0,50.0,0.1,200.0,0.25,0.0,24.974999999999998,2.0900000000000047,False
75.0,25.0,50.0,0.15000000000000002,200.0,0.25,0.0,24.974999999999998,2.0900000000000047,False
75.0,25.0,50.0,0.2,200.0,0.25,0.0,24.974999999999998,2.0900000000000047,False
75.0,25.0,50.0,0.25,200.0,0.25,0.0,24.974999999999998,2.0900000000000047,False
75.0,25.0,50.0,0.3,200.0,0.25,0.0,24.974999999999998,2.0900000000000047,False
75.0,25.0,50.0,0.35000000000000003,200.0,0.25,0.0,24.974999999999998,2.0900000000000047,False
75.0,25.0,50.0,0.4,200.0,0.25,0.0,24.974999999999998,2.0900000000000047,False
75.0,25.0,50.0,0.45,200.0,0.25,0.0,24.974999999999998,2.0900000000000047,False
75.0,25.0,50.0,0.5,200.0,0.25,0.0,24.974999999999998,2.0900000000000047,False
75.0,25.0,75.0,0.05,200.0,0.25,68.26769877106317,8.365427911478472,2.5300000000000056,False
75.0,25.0,75.0,0.1,200.0,0.25,7.8255723179502485,24.29948349768037,3.980000000000006,False
75.0,25.0,75.0,0.15000000000000002,200.0,0.25,0.0,26.36250000000001,4.429999999999988,False
75.0,25.0,75.0,0.2,200.0,0.25,0.0,26.36250000000001,4.429999999999988,False
75.0,25.0,75.0,0.25,200.0,0.25,0.0,26.36250000000001,4.429999999999988,False
75.0,25.0,75.0,0.3,200.0,0.25,0.0,26.36250000000001,4.429999999999988,False
75.0,25.0,75.0,0.35000000000000003,200.0,0.25,0.0,26.36250000000001,4.429999999999988,False
75.0,25.0,75.0,0.4,200.0,0.25,0.0,26.36250000000001,4.429999999999988,False
75.0,25.0,75.0,0.45,200.0,0.25,0.0,26.36250000000001,4.429999999999988,False
75.0,25.0,75.0,0.5,200.0,0.25,0.0,26.36250000000001,4.429999999999988,False
75.0,25.0,100.0,0.05,200.0,0.25,100.0,0.0,2.910000000000007,True
75.0,25.0,100.0,0.1,200.0,0.25,55.29586837415314,12.405396526172513,4.61999999999998,False
75.0,25.0,100.0,0.15000000000000002,200.0,0.25,20.271853442176994,22.12456066979588,6.049999999999922,False
75.0,25.0,100.0,0.2,200.0,0.25,1.3912251271895741,27.363935027204878,7.299999999999871,False
75.0,25.0,100.0,0.25,200.0,0.25,0.0,27.749999999999986,7.55999999999986,False
75.0,25.0,100.0,0.3,200.0,0.25,0.0,27.749999999999986,7.55999999999986,False
75.0,25.0,100.0,0.35000000000000003,200.0,0.25,0.0,27.749999999999986,7.55999999999986,False
75.0,25.0,100.0,0.4,200.0,0.25,0.0,27.749999999999986,7.55999999999986,False
75.0,25.0,100.0,0.45,200.0,0.25,0.0,27.749999999999986,7.55999999999986,False
75.0,25.0,100.0,0.5,200.0,0.25,0.0,27.749999999999986,7.55999999999986,False
90.0,10.0,15.0,0.05,200.0,0.25,0.0,23.032500000000006,0.2700000000000001,False
90.0,10.0,15.0,0.1,200.0,0.25,0.0,23.032500000000006,0.2700000000000001,False
90.0,10.0,15.0,0.15000000000000002,200.0,0.25,0.0,23.032500000000006,0.2700000000000001,False
90.0,10.0,15.0,0.2,200.0,0.25,0.0,23.032500000000006,0.2700000000000001,False
90.0,10.0,15.0,0.25,200.0,0.25,0.0,23.032500000000006,0.2700000000000001,False
90.0,10.0,15.0,0.3,200.0,0.25,0.0,23.032500000000006,0.2700000000000001,False
90.0,10.0,15.0,0.35000000000000003,200.0,0.25,0.0,23.032500000000006,0.2700000000000001,False
90.0,10.0,15.0,0.4,200.0,0.25,0.0,23.032500000000006,0.2700000000000001,False
90.0,10.0,15.0,0.45,200.0,0.25,0.0,23.032500000000006,0.2700000000000001,False
90.0,10.0,15.0,0.5,200.0,0.25,0.0,23.032500000000006,0.2700000000000001,False
90.0,10.0,30.0,0.05,200.0,0.25,0.0,23.865,0.9800000000000019,False
90.0,10.0,30.0,0.1,200.0,0.25,0.0,23.865,0.9800000000000019,False
90.0,10.0,30.0,0.15000000000000002,200.0,0.25,0.0,23.865,0.9800000000000019,False
90.0,10.0,30.0,0.2,200.0,0.25,0.0,23.865,0.9800000000000019,False
90.0,10.0,30.0,0.25,200.0,0.25,0.0,23.865,0.9800000000000019,False
90.0,10.0,30.0,0.3,200.0,0.25,0.0,23.865,0.9800000000000019,False
90.0,10.0,30.0,0.35000000000000003,200.0,0.25,0.0,23.865,0.9800000000000019,False
90.0,10.0,30.0,0.4,200.0,0.25,0.0,23.865,0.9800000000000019,False
90.0,10.0,30.0,0.45,200.0,0.25,0.0,23.865,0.9800000000000019,False
90.0,10.0,30.0,0.5,200.0,0.25,0.0,23.865,0.9800000000000019,False
90.0,10.0,50.0,0.05,200.0,0.25,0.0,24.975000000000005,2.520000000000006,False
90.0,10.0,50.0,0.1,200.0,0.25,0.0,24.975000000000005,2.520000000000006,False
90.0,10.0,50.0,0.15000000000000002,200.0,0.25,0.0,24.975000000000005,2.520000000000006,False
90.0,10.0,50.0,0.2,200.0,0.25,0.0,24.975000000000005,2.520000000000006,False
